id,isbn,title,author,publisher,image_url,content,genre_1,genre_2
1379,9788996124832,마스터 =S.J. Mia 장편소설 /Master ,S.J. Mia,효월,https://bookthumb-phinf.pstatic.net/cover/047/812/04781237.jpg?type=m1&udate=20100414,"마스터란, 모든 것의 주인이 되는 자, 모든 것을 지배하는 자, 존재하는 그 자체만으로 절대 권력을 행사하는 자를 의미한다. 마스터와 수호자, 그에 반(反)하는 인간과 타락천사들의 운명적인 대립을 그린 판타지 소설.",문학,판타지/환상문학
1380,9788996124887,마스터 =S.J. Mia 장편소설 /Master ,S.J. Mia,효월,https://bookthumb-phinf.pstatic.net/cover/050/612/05061272.jpg?type=m1&udate=20100414,"마스터란, 모든 것의 주인이 되는 자, 모든 것을 지배하는 자, 존재하는 그 자체만으로 절대 권력을 행사하는 자를 의미한다. 마스터와 수호자, 그에 반(反)하는 인간과 타락천사들의 운명적인 대립을 그린 판타지 소설.",문학,판타지/환상문학
1381,9788946039841,"상상력의 미학, 애니메이션 ",조미라,한울,http://image.aladin.co.kr/product/304/11/cover/8946039841_1.jpg,"[머리말]아방가르드는 미래를 내다보고 자신들의 통찰력을 우리 눈앞에 들이대는 일에 자신의 재능, 심지어는 삶까지 바치는 사람들이라고 한다. 이처럼 삶을 새로운 방식으로 보여주려는 것이 아방가르드라면, 애니메이션은 현실의 실재와는 전적으로 다른 시공간의 세계를 창조하여 우리가 세계를 상상하는... ",예술,영화/드라마
1382,9788970843834,렘브란트 ,"로베르타 다다,이종인 옮김",예경,http://image.aladin.co.kr/product/287/46/cover/8970843833_1.jpg,"예경 아트 클래식 시리즈의 제 8권으로 렘브란트 작품을 담고 있는 책이다. 이 시리즈는 다양한 작품의 구석구석을 확대해 그림 보기의 묘미를 끌어올리고, 각 화가의 문화예술사적 위치를 조망하는 선별된 에세이와 관련 문헌, 연보를 통해 작가의 모습을 입체적으로 파악할 수 있게 했다.",예술,미술
1383,9788970843841,카라바조 ,프란체스카 마리니 외 지음 ;최경화 옮김,예경,http://image.aladin.co.kr/product/287/46/cover/8970843841_1.jpg,"예경 아트 클래식 시리즈의 제 9권으로 카라바조의 작품을 담고 있는 책이다. 이 시리즈는 다양한 작품의 구석구석을 확대해 그림 보기의 묘미를 끌어올리고, 각 화가의 문화예술사적 위치를 조망하는 선별된 에세이와 관련 문헌, 연보를 통해 작가의 모습을 입체적으로 파악할 수 있게 했다.",예술,미술
1384,9788996007029,김네몽's 그림일기 ,저자: 김네몽,아이웰콘텐츠,http://image.aladin.co.kr/product/289/32/cover/8996007021_1.jpg,오늘도 김네몽닷컴(http://kimnemong.com)은 성지순례자들(매일 방문해서 방명록을 남기는 열혈팬들)로 넘쳐난다. 대체 이 25살 여인의 만화에 무슨 마력이 숨어있길래 이렇게 수많은 팬층을 거느리고 있는 걸까? 궁금하면 이 책 '김네몽's 그림일기'에서 이유를 확인할 수 있다.,만화,인터넷 연재 만화
1385,9788925707372,피리새 :김근우 장편소설,김근우,로크미디어,http://image.aladin.co.kr/product/279/97/cover/8925707373_1.jpg,"&lt;바람의 마도사&gt; &lt;위령&gt;의 작가 김근우의 장편소설. 바리데기 설화를 바탕으로, 수목신앙과 내림굿, 이무기와 도깨비, 황천강과 역신 등을 이야기한다. 처용이 종두법을 개발한 사람으로 나오고, 주몽이 활의 명수라는 지위를 전해 내려가는 왕과는 다른 존재라는 것, 화랑이 8명으로 구성된다는 설정을 가지고 있다.",문학,한국소설
1386,9788925707389,피리새 :김근우 장편소설,김근우,로크미디어,http://image.aladin.co.kr/product/279/97/cover/8925707381_1.jpg,"&lt;바람의 마도사&gt; &lt;위령&gt;의 작가 김근우의 장편소설. 바리데기 설화를 바탕으로, 수목신앙과 내림굿, 이무기와 도깨비, 황천강과 역신 등을 이야기한다. 처용이 종두법을 개발한 사람으로 나오고, 주몽이 활의 명수라는 지위를 전해 내려가는 왕과는 다른 존재라는 것, 화랑이 8명으로 구성된다는 설정을 가지고 있다.",문학,한국소설
1387,9788925235844,(부기팝 퀘스쳔) 침묵 피라미드 ,저자: Kouhei Kadono ;역자: 김영종,대원씨아이,https://bookthumb-phinf.pstatic.net/cover/050/623/05062317.jpg?type=m1&udate=20110909,"그녀는 그를 좋아하고, 그는 다른 여성을 좋아한다. 하지만 그 여성이 좋아하는 사람에겐 이미 연인이 존재한다. 그런 흔한 삼각관계를 배경으로 합성 인간들의 사투가 펼쳐진다. 계속 숨어 도망치는 자와 그것을 쫓으면서 자신의 사랑을 추구하는 자, 그들을 잡아먹는 괴물의 이야기.",문학,라이트 노벨
1388,9788925238708,슬레이버즈 그레이스 =Slaver's grace ,글: Elena Katoh ;옮긴이: 유경주,대원씨아이,http://image.aladin.co.kr/product/300/76/cover/8925238705_1.jpg,"[표지글]하인인 사에키에게 회사를 빼앗기고 강제로 그에게 안기는 것을 강요당하는 슈이치. 하지만 자신을 능욕하는 사에키에 대한 증오심을 넘어서 그의 미칠 듯 간절한 사랑을 깨닫고, 새로운 두 사람의 관계를 쌓아가기로 한다. 그리고 스스로의 마음을 사에키에게 알리려고 하지만, 슈이치는 사고로 생사를... ",문학,로맨스소설
